housenumber,street,x,y
229,Lance Drive,-135.301683,57.052606
1210,Beardslee Way,-135.30639,57.053332
231,Lance Drive,-135.301667,57.052825
318,Price Street,-135.304335,57.052869
307,Price Street,-135.305166,57.052585
314,Price Street,-135.304203,57.052524
232,Lance Drive,-135.300886,57.052744
216,Lance Drive,-135.301201,57.050843
213,Lance Drive,-135.301687,57.050573
224,Lance Drive,-135.300687,57.051836
230,Lance Drive,-135.300892,57.052462
228,Lance Drive,-135.300803,57.052262
226,Lance Drive,-135.300727,57.052051
222,Lance Drive,-135.300758,57.051612
221,Lance Drive,-135.301666,57.051734
223,Lance Drive,-135.301615,57.051985
225,Lance Drive,-135.301666,57.05215
227,Lance Drive,-135.301646,57.052373
220,Lance Drive,-135.301124,57.051356
218,Lance Drive,-135.301206,57.051112
217,Lance Drive,-135.30168,57.051086
219,Lance Drive,-135.301758,57.051389
215,Lance Drive,-135.301697,57.050847
105,Kiksadi Court,-135.299279,57.049866
103,Kiksadi Court,-135.299581,57.049855
101,Kiksadi Court,-135.300038,57.049842
102,Kiksadi Court,-135.299703,57.049418
100,Kiksadi Court,-135.30008,57.049418
205,Vitskari Street,-135.300796,57.04938
208,Lance Drive,-135.301184,57.049718
212,Lance Drive,-135.301095,57.050266
210,Lance Drive,-135.30118,57.050031
209,Lance Drive,-135.301674,57.050019
211,Lance Drive,-135.301665,57.050308
214,Lance Drive,-135.301187,57.050582
103,Scarlett Way,-135.299641,57.052616
1510,Haley Avenue,-135.298117,57.052533
1514,Haley Avenue,-135.296606,57.052381
1602,Haley Avenue,-135.296089,57.052325
1606,Haley Avenue,-135.294404,57.052148
112,Chirikov Drive,-135.295587,57.049118
106,Kiksadi Court,-135.298675,57.049449
108,Kiksadi Court,-135.298599,57.049697
104,Kiksadi Court,-135.299237,57.049455
218,Vitskari Street,-135.300125,57.048944
133,Wolff Drive,-135.297643,57.049492
138,Wolff Drive,-135.298204,57.049101
126,Wolff Drive,-135.297622,57.049883
139,Wolff Drive,-135.297496,57.048947
137,Wolff Drive,-135.297488,57.049136
122,Wolff Drive,-135.296913,57.049891
124,Wolff Drive,-135.297279,57.049886
125,Wolff Drive,-135.297335,57.049547
123,Wolff Drive,-135.297058,57.049511
112,Wolff Drive,-135.296364,57.049083
109,Wolff Drive,-135.297069,57.048935
111,Wolff Drive,-135.296962,57.049153
113,Wolff Drive,-135.29698,57.049351
115,Wolff Drive,-135.296911,57.049533
135,Wolff Drive,-135.297402,57.049311
114,Wolff Drive,-135.29643,57.049275
116,Wolff Drive,-135.296389,57.049501
142,Wolff Drive,-135.298216,57.048526
1545,Sawmill Creek Road,-135.298634,57.048004
140,Wolff Drive,-135.298169,57.048899
224,Smith Street,-135.307017,57.051531
223,Smith Street,-135.307771,57.05159
221,Smith Street,-135.30794,57.051238
219,Smith Street,-135.307979,57.050981
217,Smith Street,-135.307813,57.050632
207,Price Street,-135.30498,57.051291
1212,Beardslee Way,-135.305279,57.051506
1205,Beardslee Way,-135.307335,57.052057
1210,Beardslee Way,-135.306431,57.051634
102,Smith Street,-135.307884,57.048439
100,Smith Street,-135.308415,57.048427
104,Smith Street,-135.307268,57.048896
1311,Sawmill Creek Road,-135.308255,57.048
143,Price Street,-135.305881,57.04876
117,Harvest Way,-135.306453,57.049353
147,Price Street,-135.306312,57.048745
109,Smith Street,-135.308702,57.049241
103,Smith Street,-135.308943,57.048887
1305,Sawmill Creek Road,-135.309469,57.048693
105,Smith Street,-135.308812,57.049075
202,Smith Street,-135.307505,57.049672
1307,Sawmill Creek Road,-135.309374,57.048335
1309,Sawmill Creek Road,-135.308443,57.048159
101,Smith Street,-135.309421,57.049081
1303,Sawmill Creek Road,-135.309944,57.048446
208,Smith Street,-135.306944,57.049938
1308,Sawmill Creek Road,-135.30865,57.047669
1316,Sawmill Creek Road,-135.307011,57.047388
1318,Sawmill Creek Road,-135.306528,57.047323
1310,Sawmill Creek Road,-135.308233,57.04759
1312,Sawmill Creek Road,-135.307682,57.047438
1314,Sawmill Creek Road,-135.3074,57.047457
145,Price Street,-135.306135,57.048482
1319,Sawmill Creek Road,-135.305844,57.04806
149,Price Street,-135.306438,57.04844
1317,Sawmill Creek Road,-135.306473,57.047769
1319,Sawmill Creek Road,-135.305949,57.047648
1315,Sawmill Creek Road,-135.306917,57.047768
1313,Sawmill Creek Road,-135.307522,57.04792
1321,Sawmill Creek Road,-135.305349,57.047702
153,Price Street,-135.305093,57.049078
180,Price Street,-135.304164,57.050033
205,Price Street,-135.305364,57.051047
201,Price Street,-135.304981,57.050585
111,Harvest Way,-135.305131,57.049541
115,Harvest Way,-135.306034,57.049364
113,Harvest Way,-135.305612,57.049365
118,Harvest Way,-135.306389,57.049926
120,Harvest Way,-135.306461,57.050147
116,Harvest Way,-135.305871,57.050133
114,Harvest Way,-135.305772,57.049892
207,Lance Drive,-135.301681,57.049753
202,Lance Drive,-135.301206,57.048985
